,codigo_centro,codigo_titulacion,nombre_titulacion,porcentaje_aprobados,creditos_aprobados,creditos_matriculados,anyo
377,20,m123,mu en asesoria juridico-mercantil fiscal y laboral,0.7964169381107492,978.0,1228.0,2020
378,8,m125,mu en consultoria laboral,0.8340807174887892,1488.0,1784.0,2020
379,14,m127,mu en investigacion medica: clinica y experimental,0.7006507592190889,1292.0,1844.0,2020
380,20,m129,doble muen abogacia y asesoria juridico-mercantil fiscal y laboral,0.9478380233356212,1381.0,1457.0,2020
381,20,m130,doble master universitario en abogacia y derecho publico,0.8473282442748091,999.0,1179.0,2020
382,13,m133,muen migraciones internacionales salud y bienestar: mod y est de inter,0.8657289002557544,1354.0,1564.0,2020
383,19,m134,mu en especializacion profesional en farmacia,0.823739837398374,2533.0,3075.0,2020
384,4,m135,mu en estudios historicos avanzados,0.8337129840546698,2196.0,2634.0,2020
385,5,m136,mu en biologia avanzada: investigacion y aplicacion,0.868421052631579,1485.0,1710.0,2020
386,16,m137,mu en estudios lingüisticos literarios y culturales,0.7925373134328358,2124.0,2680.0,2020
387,18,m138,mu en psicopedagogia,0.952755905511811,3388.0,3556.0,2020
388,20,m140,doble master universitario en abogacia y relaciones juridico-privadas,0.8818105616093881,1052.0,1193.0,2020
389,13,m141,mu en psicologia general sanitaria,0.9320320179750035,3318.5,3560.5,2020
390,45,m142,mu en ingenieria de telecomunicacion,0.6775884665792923,1034.0,1526.0,2020
391,45,m143,mu en ingenieria aeronautica,0.7222008464794152,5631.0,7797.0,2020
392,45,m146,mu en ingenieria industrial,0.6404025387386357,11200.0,17489.0,2020
393,23,m148,mu en tecnologia e industria alimentaria,0.8148947652455477,1510.0,1853.0,2020
394,302,m149,mu en sistemas inteligentes en energia y transporte (us y uma),0.782016348773842,1722.0,2202.0,2020
395,9,m150,mu en ingenieria agronomica,0.7890909090909091,2604.0,3300.0,2020
396,16,m151,doble mu en est hispanicos superiores y profde eso y bachillerato fp y,0.9090433873497125,3478.0,3826.0,2020
397,302,m151,doble mu en est hispanicos superiores y profde eso y bachillerato fp y,0.9090433873497125,3478.0,3826.0,2020
398,12,m152,doble mu en filosofia y cultura moderna y profde eso y bachillerato fp,0.9264392324093816,3476.0,3752.0,2020
399,302,m152,doble mu en filosofia y cultura moderna y profde eso y bachillerato fp,0.9264392324093816,3476.0,3752.0,2020
400,15,m153,mu en arquitectura,0.6770261543429125,8387.0,12388.0,2020
401,1,m154,mu en auditoria y contabilidad superior,0.7731320170344561,1997.0,2583.0,2020
402,45,m155,mu en diseño avanzado en ingenieria mecanica,0.5662020905923345,650.0,1148.0,2020
403,18,m156,mu en formacion y orientacion para el trabajo,0.9211428571428572,1612.0,1750.0,2020
404,302,m157,mu en genetica molecular y biotecnologia,0.9680365296803652,1696.0,1752.0,2020
405,4,m158,mu en gestion del territorio instrumentos y tecnicas de intervenc,0.7569258266309205,847.0,1119.0,2020
406,45,m160,mu en ingenieria electronica robotica y automatica,0.7406832298136646,1431.0,1932.0,2020
407,302,m161,mu en investigacion biomedica,0.8243243243243243,2440.0,2960.0,2020
408,17,m162,mu en matematicas,0.8214971209213052,1284.0,1563.0,2020
409,45,m163,mu en organizacion industrial y gestion de empresas,0.6212278876170656,1492.5,2402.5,2020
410,45,m164,mu en sistemas de energia electrica,0.529874213836478,1011.0,1908.0,2020
411,45,m165,mu en sistemas de energia termica,0.6252446183953033,639.0,1022.0,2020
412,15,m166,mu en ciudad y arquitectura sostenibles,0.7682403433476395,1074.0,1398.0,2020
413,10,m168,mu en odontologia medico-quirurgica e integral,0.98,1176.0,1200.0,2020
414,15,m169,mu en innovacion en arquitectura: tecnologia y diseño (2016),0.49327354260089684,440.0,892.0,2020
415,16,m170,doble muen profesorado de eso y bachillerato fp y ei y en estlingüis,0.9203722854188211,3560.0,3868.0,2020
416,302,m170,doble muen profesorado de eso y bachillerato fp y ei y en estlingüis,0.9203722854188211,3560.0,3868.0,2020
417,302,m171,mu en estudios europeos (2017),0.7067176406335336,1294.0,1831.0,2020
418,10,m172,mu en odontologia restauradora estetica y funcional,0.9407008086253369,1047.0,1113.0,2020
419,1,m174,mu en estudios avanzados en direccion de empresas (2017),0.7782909930715936,1348.0,1732.0,2020
420,16,m175,mu en traduccion e interculturalidad (2017),0.9075555555555556,2042.0,2250.0,2020
421,17,m176,doble mu profesorado educsecundobligy bach fp y ei y en matematicas,0.8228862973760933,2258.0,2744.0,2020
422,302,m176,doble mu profesorado educsecundobligy bach fp y ei y en matematicas,0.8228862973760933,2258.0,2744.0,2020
423,8,m177,mu en gestion y desarrollo de recursos humanos,0.8776371308016878,1664.0,1896.0,2020
424,23,m178,mu en diseño e ingenieria de producte instalacinden entornos plm y bim,0.5913461538461539,738.0,1248.0,2020
425,302,m179,muen ingenieria del software: cloud datos y gestion de las tecnologias,0.6863007585899152,1538.0,2241.0,2020
426,3,m180,mu en ingenieria informatica,0.4973943254198031,1288.5,2590.5,2020
427,45,m181,mu en ingenieria quimica,0.7837926509186351,1194.5,1524.0,2020
428,1,m182,mu en consultoria economica y analisis aplicado (2018),0.742816091954023,1034.0,1392.0,2020
429,45,m183,mu en ingenieria ambiental (2018),0.5586822237474263,814.0,1457.0,2020
430,2,m184,mu en guion narrativa y creatividad audiovisual,0.9175141242937853,1624.0,1770.0,2020
431,10,m185,mu en odontologia infantil,1.0,1140.0,1140.0,2020
432,20,m186,mu en derecho penal y ciencias criminales,0.9165446559297218,1878.0,2049.0,2020
433,8,m187,mu en ciencias del trabajo,0.8096676737160121,1072.0,1324.0,2020
434,3,m188,mu en ingenieria biomedica y salud digital,0.6499189627228525,1203.0,1851.0,2020
435,13,m189,mu en intervencion y mediacion familiar,0.9231217239370996,1585.0,1717.0,2020
436,45,m190,mu en ingenieria de caminos canales y puertos (2019),0.6799755239406455,2222.5,3268.5,2020
437,8,m191,doble mu en ciencias del trabajo y en gestion y desarrollo de los rrhh,0.8869565217391304,408.0,460.0,2020
438,45,m192,doble muen ingenieria industrial y diseño avanzado en ingenieria mecanica,0.8333333333333334,100.0,120.0,2020
439,45,m194,doble muen ingenieria industrial e ingelectronica robotica y automatica,0.898989898989899,311.5,346.5,2020
440,45,m195,doble master universitario en ingenieria industrial y en ingenieria quimica,0.7902439024390244,243.0,307.5,2020
441,45,m196,doble mu en ingenieria industrial y organizacion industrial y gestion emp,0.8373015873015873,211.0,252.0,2020
442,45,m197,doble mu en ingenieria industrial y en sistemas de energia electrica,0.7631133671742809,225.5,295.5,2020
443,45,m198,doble mu en ingenieria industrial y en sistemas de energia termica,0.9722222222222222,175.0,180.0,2020
444,45,m199,doble master universitario en ingenieria quimica y en ingenieria ambiental,0.8606356968215159,528.0,613.5,2020
445,302,m200,mu en fisica nuclear (eemm),0.765,918.0,1200.0,2020
446,7,m201,mu en direccion financiera,0.8163265306122449,960.0,1176.0,2020
447,18,m202,mu en necesidades educativas especiales y atencion a la diversidad en la escuela,0.9761336515513126,1636.0,1676.0,2020
448,26,526,grado en enfermeria,0.9145541570643503,15477.0,16923.0,2020
449,28,527,grado en enfermeria   ,0.9696193889742277,17043.0,17577.0,2020
450,28,528,grado en finanzas y contabilidad ,0.6926470588235294,2826.0,4080.0,2020
451,28,529,grado en relaciones laborales y recursos humanos  ,0.8625277161862528,2334.0,2706.0,2020
452,148,531,grado en enfermeria   ,0.9142461964038727,15864.0,17352.0,2020
453,38,532,grado en turismo  ,0.9097472924187726,1512.0,1662.0,2020
454,38,537,grado en publicidad y relaciones publicas  ,0.9236016371077762,12186.0,13194.0,2020
